,Symbol,Sector
0,A,None Found
1,AA,Basic Materials
2,AAL,Basic Materials
3,AAP,Cyclical Consumer Goods & Services
4,AAPL,Technology
5,ABBV,Healthcare
6,ABC,Non-Cyclical Consumer Goods & Services
7,ABT,Healthcare
8,ACE,Financials
9,ACN,Industrials
10,ADBE,Technology
11,ADI,Technology
12,ADM,Non-Cyclical Consumer Goods & Services
13,ADP,Industrials
14,ADS,Industrials
15,ADSK,Technology
16,ADT,Technology
17,AEE,Utilities
18,AEP,Utilities
19,AES,Utilities
20,AET,Financials
21,AFL,Financials
22,AGN,None Found
23,AIG,Financials
24,AIV,Financials
25,AIZ,Financials
26,AKAM,Technology
27,ALL,Financials
28,ALLE,Technology
29,ALTR,Technology
30,ALXN,Healthcare
31,AMAT,Technology
32,AME,Industrials
33,AMG,Financials
34,AMGN,Healthcare
35,AMP,Financials
36,AMT,Financials
37,AMZN,Cyclical Consumer Goods & Services
38,AN,Cyclical Consumer Goods & Services
39,ANTM,Financials
40,AON,None Found
41,APA,Energy
42,APC,Energy
43,APD,Basic Materials
44,APH,Technology
45,ARG,Basic Materials
46,ATVI,Cyclical Consumer Goods & Services
47,AVB,Financials
48,AVGO,Technology
49,AVY,Industrials
50,AXP,Financials
51,AZO,Cyclical Consumer Goods & Services
52,BA,Industrials
53,BAC,Financials
54,BAX,Healthcare
55,BBBY,Cyclical Consumer Goods & Services
56,BBT,Financials
57,BBY,Cyclical Consumer Goods & Services
58,BCR,Healthcare
59,BDX,Healthcare
60,BEN,Financials
61,BFB,None Found
62,BHI,Energy
63,BIIB,Healthcare
64,BK,Financials
65,BLK,Financials
66,BLL,Basic Materials
67,BMY,Healthcare
68,BRCM,Technology
69,BRKB,Financials
70,BSX,Healthcare
71,BWA,Cyclical Consumer Goods & Services
72,BXLT,Healthcare
73,BXP,Financials
74,C,Financials
75,CA,Technology
76,CAG,Non-Cyclical Consumer Goods & Services
77,CAH,Non-Cyclical Consumer Goods & Services
78,CAM,Energy
79,CAT,Industrials
80,CB,Financials
81,CBG,Financials
82,CBS,Cyclical Consumer Goods & Services
83,CCE,Non-Cyclical Consumer Goods & Services
84,CCI,Financials
85,CCL,Cyclical Consumer Goods & Services
86,CELG,Healthcare
87,CERN,Healthcare
88,CF,Basic Materials
89,CHK,Energy
90,CHRW,Industrials
91,CI,Financials
92,CINF,Financials
93,CL,Non-Cyclical Consumer Goods & Services
94,CLX,Non-Cyclical Consumer Goods & Services
95,CMA,Financials
96,CMCSA,Cyclical Consumer Goods & Services
97,CMCSK,Cyclical Consumer Goods & Services
98,CME,Financials
99,CMG,Cyclical Consumer Goods & Services
100,CMI,Cyclical Consumer Goods & Services
101,CMS,Utilities
102,CNP,Utilities
103,CNX,None Found
104,COF,Financials
105,COG,Energy
106,COH,Cyclical Consumer Goods & Services
107,COL,Industrials
108,COP,Energy
109,COST,Cyclical Consumer Goods & Services
110,CPB,Non-Cyclical Consumer Goods & Services
111,CPGX,Energy
112,CRM,Technology
113,CSC,Technology
114,CSCO,Technology
115,CSX,Industrials
116,CTAS,Industrials
117,CTL,Telecommunications Services
118,CTSH,Technology
119,CTXS,Technology
120,CVC,Cyclical Consumer Goods & Services
121,CVS,Non-Cyclical Consumer Goods & Services
122,CVX,Energy
123,D,Technology
124,DAL,Industrials
125,DD,Industrials
126,DE,Industrials
127,DFS,Financials
128,DG,Cyclical Consumer Goods & Services
129,DGX,Healthcare
130,DHI,Cyclical Consumer Goods & Services
131,DHR,Industrials
132,DIS,Cyclical Consumer Goods & Services
133,DISCA,Cyclical Consumer Goods & Services
134,DISCK,Cyclical Consumer Goods & Services
135,DLPH,Cyclical Consumer Goods & Services
136,DLTR,Cyclical Consumer Goods & Services
137,DNB,Industrials
138,DO,Energy
139,DOV,Industrials
140,DOW,None Found
141,DPS,Non-Cyclical Consumer Goods & Services
142,DRI,Cyclical Consumer Goods & Services
143,DTE,Utilities
144,DUK,Utilities
145,DVA,Healthcare
146,DVN,Energy
147,EA,Cyclical Consumer Goods & Services
148,EBAY,Technology
149,ECL,Industrials
150,ED,Utilities
151,EFX,Industrials
152,EIX,Utilities
153,EL,Non-Cyclical Consumer Goods & Services
154,EMC,Technology
155,EMN,Basic Materials
156,EMR,Industrials
157,ENDP,None Found
158,EOG,Energy
159,EQIX,Financials
160,EQR,Financials
161,EQT,Energy
