,index,capitalexpenditures,cashandcashequivalents,cashcashequivalentsandshortterminvestments,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,cfdepreciationamortization,changeinaccountsreceivable,changeincurrentassets,changeincurrentliabilities,commonstock,costofrevenue,dividendspaid,ebit,effectofexchangerateoncash,equityearnings,goodwill,grossprofit,incomebeforetaxes,intangibleassets,interestexpense,investmentchangesnet,minorityinterest,netchangeincash,netincome,netincomeapplicabletocommon,otherassets,othercurrentassets,othercurrentliabilities,otherequity,otherliabilities,preferredstock,propertyplantequipmentnet,researchdevelopmentexpense,retainedearnings,sellinggeneraladministrativeexpenses,totaladjustments,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity,treasurystock
0,0,-195500000.0,2895250000.0,2895250000.0,-595250000.0,-387500000.0,1087750000.0,322000000.0,-18750000.0,-133500000.0,-12000000.0,6000000.0,3243750000.0,-109000000.0,993000000.0,-10250000.0,155217857.143,2634500000.0,3565250000.0,895000000.0,774500000.0,-101750000.0,10750000.0,4250000.0,94750000.0,848250000.0,848250000.0,466000000.0,346250000.0,545339196.97,1046289142.86,720250000.0,0.0,1101250000.0,685000000.0,5625000000.0,1887250000.0,239500000.0,10277500000.0,5170250000.0,1758500000.0,5259000000.0,2376250000.0,916250000.0,6809000000.0,251500000.0,5018500000.0,-9164000000.0
1,22,-169425000.0,3266350000.0,3540975000.0,-473900000.0,-360275000.0,1576250000.0,247825000.0,-98800000.0,-142600000.0,97750000.0,3100000.0,776850000.0,-60125000.0,1701050000.0,-12025000.0,155217857.143,2238625000.0,5323375000.0,1640075000.0,1365450000.0,-69950000.0,168475000.0,16150000.0,730050000.0,1135650000.0,1135650000.0,1593405022.22,659875000.0,5300000.0,1046289142.86,796725000.0,0.0,897000000.0,1020675000.0,4335725000.0,2427000000.0,436725000.0,10169475000.0,5293525000.0,1213025000.0,3828750000.0,1802850000.0,816850000.0,6100225000.0,65100000.0,6340725000.0,-730025000.0
2,39,-248750000.0,353500000.0,865500000.0,-1157750000.0,-223250000.0,1428000000.0,616500000.0,-427750000.0,-608000000.0,-416250000.0,98750000.0,12729267654.8,-247250000.0,1707250000.0,-40000000.0,155217857.143,8892500000.0,4051603327.78,1517750000.0,2837250000.0,-234500000.0,201000000.0,48750000.0,7000000.0,1120500000.0,1120500000.0,13241750000.0,688225201.389,545339196.97,1046289142.86,13426250000.0,571428571.429,789750000.0,543822041.667,6215750000.0,9958000000.0,275750000.0,30015250000.0,5647690744.44,3664840894.44,22376250000.0,4088250000.0,2998750000.0,11665250000.0,568750000.0,7639000000.0,-2553000000.0
3,98,-1353338250.0,225501750.0,237575250.0,-221195750.0,-705574250.0,962818750.0,472501250.0,-53143433.3333,1716750.0,55071250.0,2289250.0,2086498500.0,-95493000.0,426618500.0,-10409607.1429,155217857.143,5818991437.5,1477555750.0,405042250.0,2683454094.44,-227787000.0,-22980000.0,-23500.0,36048750.0,461124750.0,461124750.0,537034500.0,149230000.0,65363250.0,0.0,1040247750.0,0.0,9780529250.0,41155000.0,2651489500.0,170455250.0,502139750.0,12169122750.0,1512253250.0,1260857000.0,7694016750.0,3197861500.0,759909750.0,3564054250.0,30141250.0,4475106000.0,-2488750.0
4,133,-2793750000.0,5339000000.0,5339500000.0,-3551500000.0,-2313750000.0,5569750000.0,2752250000.0,-5750000.0,-310500000.0,37500000.0,3032500000.0,48469750000.0,-1766750000.0,4011000000.0,-51500000.0,907000000.0,12774750000.0,9534750000.0,3426750000.0,4463500000.0,-1173500000.0,131500000.0,989250000.0,-346250000.0,3120750000.0,2780750000.0,729250000.0,327000000.0,545339196.97,-434000000.0,3766000000.0,4000000000.0,17581000000.0,1687000000.0,20508500000.0,2944750000.0,2435000000.0,69281500000.0,24087500000.0,12172750000.0,45998750000.0,18471750000.0,9581000000.0,58004500000.0,1610750000.0,23119750000.0,-1135000000.0
5,150,-84027250.0,503164750.0,828601000.0,497379000.0,-1029512750.0,518071750.0,311272250.0,-122203250.0,-133650500.0,467112250.0,1060500.0,1130958000.0,-41317000.0,-328100500.0,-303000.0,155217857.143,2386746500.0,1577729750.0,-511746500.0,2404677250.0,-182893500.0,34251250.0,53726250.0,-9121250.0,-489845500.0,-489845500.0,131357000.0,163640000.0,440006250.0,24000.0,341489250.0,0.0,364481500.0,173913000.0,473658000.0,823363250.0,967210250.0,7835653500.0,2540792500.0,1917220750.0,6346200500.0,3496390000.0,858164750.0,2708687750.0,197821750.0,1487830250.0,-512510500.0
6,156,-291050000.0,3059300000.0,3076625000.0,-982875000.0,-2749900000.0,4070300000.0,1703675000.0,-162200000.0,-404200000.0,1102550000.0,7975000.0,79562300000.0,-16425000.0,3065600000.0,-3025000.0,16600000.0,23348100000.0,6644825000.0,2564400000.0,10982400000.0,-524425000.0,29785922.619,7375000.0,327225000.0,1610225000.0,1610225000.0,144425000.0,75600000.0,38000000.0,1046289142.86,559700000.0,0.0,1322800000.0,543822041.667,4636750000.0,3579225000.0,2436450000.0,45266325000.0,9468600000.0,12191925000.0,28328750000.0,11358050000.0,4336050000.0,86207125000.0,7911050000.0,16937575000.0,-4771875000.0
7,160,-601750000.0,664500000.0,1230750000.0,308250000.0,-1957750000.0,1768750000.0,783500000.0,-136750000.0,-144750000.0,-38250000.0,45500000.0,13431000000.0,-674750000.0,1778750000.0,-7250000.0,155217857.143,12092000000.0,5808500000.0,1612250000.0,5878500000.0,-206000000.0,235000000.0,53250000.0,112000000.0,1555250000.0,1555250000.0,1084500000.0,688225201.389,1830000000.0,-4000000.0,986000000.0,571428571.429,3492750000.0,536750000.0,6213000000.0,3332000000.0,206750000.0,30675750000.0,7639250000.0,4855250000.0,16886000000.0,7531000000.0,3308250000.0,19239500000.0,767000000.0,13789750000.0,-1774867634.62
8,185,-758333333.333,73333333.3333,111000000.0,-166666666.667,-722333333.333,876333333.333,390333333.333,-39000000.0,-58666666.6667,24000000.0,594666666.667,3033333333.33,-235333333.333,770333333.333,-10409607.1429,155217857.143,1810000000.0,1352000000.0,615333333.333,113666666.667,-177333333.333,29785922.619,37000000.0,-12666666.6667,345666666.667,345666666.667,951000000.0,329333333.333,686333333.333,0.0,1977333333.33,571428571.429,8646000000.0,543822041.667,1121666666.67,2547145738.1,513666666.667,14509666666.7,2873666666.67,3224333333.33,10936000000.0,3580666666.67,1445000000.0,4385333333.33,1383000000.0,3573666666.67,-8000000.0
9,258,-1807500000.0,253750000.0,253750000.0,-472000000.0,-2441500000.0,2976250000.0,843250000.0,559250000.0,296000000.0,-59500000.0,4000000.0,12729267654.8,-519750000.0,2551500000.0,-1750000.0,155217857.143,658750000.0,4051603327.78,2083750000.0,2683454094.44,-467750000.0,-344000000.0,5116500000.0,61000000.0,704000000.0,704000000.0,2024250000.0,688225201.389,545339196.97,1046289142.86,43173000000.0,571428571.429,14172000000.0,543822041.667,15276250000.0,2547145738.1,1767500000.0,78398750000.0,5647690744.44,3664840894.44,59156500000.0,9490500000.0,8933250000.0,14284750000.0,315250000.0,19242250000.0,-5000000.0
